"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"M16.1","PCBComponent_1","492.126mil","1003.937mil","492.126mil","1003.937mil","572.126mil","1083.937mil","T","0.00","Component_1"
"M15.1","PCBComponent_1","295.276mil","1003.937mil","295.276mil","1003.937mil","375.276mil","1083.937mil","T","0.00","Component_1"
"M14.1","PCBComponent_1","98.425mil","1003.937mil","98.425mil","1003.937mil","178.425mil","1083.937mil","T","0.00","Component_1"
"M13.1","PCBComponent_1","-98.425mil","1003.937mil","-98.425mil","1003.937mil","-18.425mil","1083.937mil","T","0.00","Component_1"
"M12.1","PCBComponent_1","-295.276mil","1003.937mil","-295.276mil","1003.937mil","-215.276mil","1083.937mil","T","0.00","Component_1"
"M11.1","PCBComponent_1","-492.126mil","1003.937mil","-492.126mil","1003.937mil","-412.126mil","1083.937mil","T","0.00","Component_1"
"R5.4","2-0402","127.953mil","-177.165mil","127.953mil","-177.165mil","153.543mil","-177.165mil","B","180.00","ERJ2RB"
"R4.4","2-0402","-177.165mil","-177.165mil","-177.165mil","-177.165mil","-202.756mil","-177.165mil","B","360.00","ERJ2RB"
"R3.4","2-0402","49.213mil","-147.638mil","49.213mil","-147.638mil","49.213mil","-173.228mil","B","90.00","ERJ2RB"
"R2.4","2-0402","-98.425mil","-147.638mil","-98.425mil","-147.638mil","-98.425mil","-173.228mil","B","90.00","ERJ2RB"
"R1.4","2-0402","-78.74mil","-393.701mil","-78.74mil","-393.701mil","-78.74mil","-419.291mil","B","90.00","ERJ2RB"
"M10.1","PCBComponent_1","361.905mil","-361.905mil","361.905mil","-361.905mil","441.905mil","-281.905mil","T","360.00","Component_1"
"M9.1","PCBComponent_1","494.371mil","-132.466mil","494.371mil","-132.466mil","574.371mil","-52.466mil","T","360.00","Component_1"
"M8.1","PCBComponent_1","494.371mil","132.466mil","494.371mil","132.466mil","574.371mil","212.466mil","T","360.00","Component_1"
"M7.1","PCBComponent_1","361.905mil","361.905mil","361.905mil","361.905mil","441.905mil","441.905mil","T","360.00","Component_1"
"M6.1","PCBComponent_1","132.466mil","494.371mil","132.466mil","494.371mil","212.466mil","574.371mil","T","360.00","Component_1"
"M5.1","PCBComponent_1","-132.466mil","494.371mil","-132.466mil","494.371mil","-52.466mil","574.371mil","T","360.00","Component_1"
"M4.1","PCBComponent_1","-361.905mil","361.905mil","-361.905mil","361.905mil","-281.905mil","441.905mil","T","360.00","Component_1"
"M3.1","PCBComponent_1","-494.371mil","132.466mil","-494.371mil","132.466mil","-414.371mil","212.466mil","T","360.00","Component_1"
"M2.1","PCBComponent_1","-494.371mil","-132.466mil","-494.371mil","-132.466mil","-414.371mil","-52.466mil","T","360.00","Component_1"
"M1.1","PCBComponent_1","-361.905mil","-361.905mil","-361.905mil","-361.905mil","-281.905mil","-281.905mil","T","360.00","Component_1"
"C3.4","0402","0mil","-147.638mil","0mil","-147.638mil","0mil","-122.047mil","B","270.00","C0402"
"C2.4","0402","-49.213mil","-147.638mil","-49.213mil","-147.638mil","-49.213mil","-122.047mil","B","270.00","C0402"
"C1.4","0402","-19.685mil","-393.701mil","-19.685mil","-393.701mil","-19.685mil","-419.291mil","B","90.00","C0402"
"U1.4","PCBComponent_1","0mil","-9.842mil","0mil","0mil","-98.425mil","-295.276mil","T","0.00","PEC11R-4215F-S0024"
"U1.9","ZZ311","-492.126mil","688.976mil","-492.126mil","688.976mil","-359.252mil","779.527mil","B","270.00","REG1117-3.3"
"U1.7","32A_N","-354.331mil","-511.811mil","-354.331mil","-511.811mil","-244.094mil","-677.165mil","B","90.00","ATtiny88-AUR"
"R4.5","2-0402","236.22mil","-531.496mil","236.22mil","-531.496mil","236.22mil","-557.087mil","B","90.00","ERJ2RB"
"R3.7","2-0402","137.795mil","-118.11mil","137.795mil","-118.11mil","163.386mil","-118.11mil","B","180.00","ERJ2RB"
"R3.5","2-0402","177.165mil","-531.496mil","177.165mil","-531.496mil","177.165mil","-557.087mil","B","90.00","ERJ2RB"
"R2.7","2-0402","0mil","-531.496mil","0mil","-531.496mil","0mil","-557.087mil","B","90.00","ERJ2RB"
"R2.5","2-0402","118.11mil","-531.496mil","118.11mil","-531.496mil","118.11mil","-557.087mil","B","90.00","ERJ2RB"
"R1.7","2-0402","-59.055mil","-531.496mil","-59.055mil","-531.496mil","-59.055mil","-557.087mil","B","90.00","ERJ2RB"
"R1.5","2-0402","59.055mil","-531.496mil","59.055mil","-531.496mil","59.055mil","-557.087mil","B","90.00","ERJ2RB"
"P1.8","HDR2X3","-660.236mil","-434.646mil","-610.236mil","-334.646mil","-610.236mil","-334.646mil","B","270.00","Header 3X2"
"P1.1","HDR1X2","-599.606mil","393.701mil","-649.606mil","393.701mil","-649.606mil","393.701mil","B","360.00","Header 2"
"J1.3","FH12-15S-0.5SV","-570.866mil","0mil","-570.866mil","0mil","-629.921mil","-137.795mil","B","90.00","CL586-0561-5"
"J1.2","FH12-15S-0.5SV","570.866mil","0mil","570.866mil","0mil","629.921mil","137.795mil","B","270.00","CL586-0561-5"
"D16.5","1.6X0.8X0.5","492.126mil","1003.937mil","492.126mil","1003.937mil","478.346mil","978.346mil","T","90.00","HSMF-C165"
"D15.5","1.6X0.8X0.5","295.276mil","1003.937mil","295.276mil","1003.937mil","281.496mil","978.346mil","T","90.00","HSMF-C165"
"D14.5","1.6X0.8X0.5","98.425mil","1003.937mil","98.425mil","1003.937mil","84.646mil","978.346mil","T","90.00","HSMF-C165"
"D13.5","1.6X0.8X0.5","-98.425mil","1003.937mil","-98.425mil","1003.937mil","-112.205mil","978.346mil","T","90.00","HSMF-C165"
"D12.5","1.6X0.8X0.5","-295.276mil","1003.937mil","-295.276mil","1003.937mil","-309.055mil","978.346mil","T","90.00","HSMF-C165"
"D11.5","1.6X0.8X0.5","-492.126mil","1003.937mil","-492.126mil","1003.937mil","-505.906mil","978.346mil","T","90.00","HSMF-C165"
"D10.5","1.6X0.8X0.5","361.905mil","-361.905mil","361.905mil","-361.905mil","348.125mil","-387.495mil","T","90.00","HSMF-C165"
"D9.5","1.6X0.8X0.5","494.371mil","-132.466mil","494.371mil","-132.466mil","480.592mil","-158.057mil","T","90.00","HSMF-C165"
"D8.5","1.6X0.8X0.5","494.371mil","132.466mil","494.371mil","132.466mil","480.592mil","106.876mil","T","90.00","HSMF-C165"
"D7.5","1.6X0.8X0.5","361.905mil","361.905mil","361.905mil","361.905mil","348.125mil","336.315mil","T","90.00","HSMF-C165"
"D6.5","1.6X0.8X0.5","132.466mil","494.371mil","132.466mil","494.371mil","118.687mil","468.781mil","T","90.00","HSMF-C165"
"D5.5","1.6X0.8X0.5","-132.466mil","494.371mil","-132.466mil","494.371mil","-146.246mil","468.781mil","T","90.00","HSMF-C165"
"D4.5","1.6X0.8X0.5","-361.905mil","361.905mil","-361.905mil","361.905mil","-375.685mil","336.315mil","T","90.00","HSMF-C165"
"D3.5","1.6X0.8X0.5","-494.372mil","132.466mil","-494.371mil","132.466mil","-508.151mil","106.876mil","T","90.00","HSMF-C165"
"D2.5","1.6X0.8X0.5","-494.372mil","-132.466mil","-494.371mil","-132.466mil","-508.151mil","-158.057mil","T","90.00","HSMF-C165"
"D1.5","1.6X0.8X0.5","-361.905mil","-361.905mil","-361.905mil","-361.905mil","-375.685mil","-387.495mil","T","90.00","HSMF-C165"
"Cout.9","0805","-236.22mil","748.032mil","-236.22mil","748.032mil","-236.22mil","710.63mil","B","90.00","C0805"
"Cin.9","0805","-236.22mil","590.551mil","-236.22mil","590.551mil","-236.22mil","553.15mil","B","90.00","C0805"
"C4.7","0402","0mil","-649.606mil","0mil","-649.606mil","0mil","-624.016mil","B","270.00","C0402"
"C3.7","0603","-374.016mil","-196.85mil","-374.016mil","-196.85mil","-340.551mil","-196.85mil","B","180.00","C0603"
"C2.7","0402","-393.701mil","-255.905mil","-393.701mil","-255.905mil","-419.291mil","-255.905mil","B","360.00","C0402"
"C1.7","0402","-354.331mil","-748.032mil","-354.331mil","-748.032mil","-328.74mil","-748.032mil","B","180.00","C0402"

